央视频道,#genre#
CCTV1,
CCTV2,
CCTV3,
CCTV4,
CCTV5,
CCTV5+,
CCTV6,
CCTV7,
CCTV8,
CCTV9,
CCTV10,
CCTV11,
CCTV12,
CCTV13,
CCTV14,
CCTV15,
CCTV16,
CCTV16,
CCTV17,
CCTV4美洲,
CCTV4欧洲,
CCTV8K,
第一剧场,
风云剧场,
怀旧剧场,
CGTNAR,
CGTNDOC,
CGTN,
CGTNFR,
CGTNRU,
CGTNSP,

卫视频道,#genre#
北京卫视,
东方卫视,
浙江卫视,
江苏卫视,
湖南卫视,
安徽卫视,
黑龙江卫视,
贵州卫视,
四川卫视,
重庆卫视,
东南卫视,
江西卫视,
广东卫视,
河北卫视,
深圳卫视,
吉林卫视,
河南卫视,
四川卫视,
广西卫视,
陕西卫视,
山西卫视,
内蒙古卫视,
青海卫视,
海南卫视,
宁夏卫视,
西藏卫视,
新疆卫视,
甘肃卫视,
云南卫视,
兵团卫视,
广东卫视,
深圳卫视,
天津卫视,
安徽卫视,
山东卫视,
辽宁卫视,
河北卫视,
河南卫视,
江西卫视,
湖北卫视,
广西卫视,
东南卫视,
海南卫视,
青海卫视,

影视频道,#genre#
CHC影迷电影,
CHC动作电影,
CHC家庭影院,
经典香港电影,
抗战经典影片,
新片放映厅,
军旅剧场,
动作电影,
精彩轮播,
南方影视,
五星体育,
重温经典,
经典香港电影,
凤凰电影,
邵氏电影,
邵氏武侠,
邵氏动作,
邵氏喜剧,
邵氏影院,
经典音乐,

爱奇频道,#genre#
好片速递频道,
电影大片频道,
古装妖魔频道,
军旅剧场频道,
抗战剧场频道,
谍战剧场频道,
红色剧场频道,
家庭剧场频道,
泰语剧场频道,
搞笑剧场频道,
传奇剧场频道,
青春剧场频道,
欢乐剧场频道,
青春剧场频道,
甜宠剧场频道,
大家剧场频道,
警匪悬疑频道,
古装大剧频道,
爱情生活频道,

NBA赛评,#genre#

凤凰频道,#genre#
凤凰中文,
凤凰资讯,
凤凰香港,

游戏赛事,#genre#
B站CS,https://live.ottiptv.cc/bilibili/21622811
虎牙CS,https://live.ottiptv.cc/huya/483917
英雄联盟,https://live.ottiptv.cc/bilibili/6
虎牙英雄联盟,https://live.ottiptv.cc/huya/660000
虎牙英雄联盟1,https://live.ottiptv.cc/huya/660001
斗鱼英雄联盟,https://goodiptv.club/douyu/288016
斗鱼英雄联盟1,https://goodiptv.club/douyu/424559
英雄联盟•手游,https://live.ottiptv.cc/bilibili/23138275
王者荣耀,https://live.ottiptv.cc/bilibili/55
王者荣耀1,https://live.ottiptv.cc/bilibili/21654762
虎牙王者荣耀,https://live.ottiptv.cc/huya/660002
虎牙王者荣耀1,https://live.ottiptv.cc/huya/660164
斗鱼王者荣耀,https://goodiptv.club/douyu/1863767
斗鱼王者荣耀1,https://goodiptv.club/douyu/1984839
B站绝地求生,https://live.ottiptv.cc/bilibili/98
虎牙绝地求生 𝟙,https://live.ottiptv.cc/huya/660004
虎牙绝地求生 𝟚,https://live.ottiptv.cc/huya/660005
斗鱼绝地求生,https://goodiptv.club/douyu/100
虎牙和平精英,https://live.ottiptv.cc/huya/660006
斗鱼和平精英,https://goodiptv.club/douyu/999
虎牙金铲铲之战,https://live.ottiptv.cc/huya/660579
斗鱼金铲铲之战,https://goodiptv.club/douyu/9715241
虎牙DOTA2,https://live.ottiptv.cc/huya/660118
斗鱼DOTA2,https://goodiptv.club/douyu/3811559
斗鱼云顶之弈,https://goodiptv.club/douyu/522423
虎牙永劫无间,https://live.ottiptv.cc/huya/660115
斗鱼永劫无间,https://live.ottiptv.cc/huya/9662891
B站使命召唤•手游,https://live.ottiptv.cc/bilibili/22741849
虎牙使命召唤•手游,https://live.ottiptv.cc/huya/11718629
斗鱼使命召唤•手游,https://goodiptv.club/douyu/9223245
虎牙穿越火线,https://live.ottiptv.cc/huya/660101
斗鱼穿越火线 𝟙,https://goodiptv.club/douyu/605964
斗鱼穿越火线 𝟚,https://goodiptv.club/douyu/5388537
虎牙穿越火线•手游,https://live.ottiptv.cc/huya/660102
B站第五人格,https://live.ottiptv.cc/bilibili/5555
虎牙第五人格,https://live.ottiptv.cc/huya/idvesports
斗鱼第五人格,https://goodiptv.club/douyu/3226194
虎牙逆战,https://live.ottiptv.cc/huya/nsl2021
B站无畏契约,https://live.ottiptv.cc/bilibili/22908869
虎牙无畏契约,https://live.ottiptv.cc/huya/660679
斗鱼无畏契约,https://goodiptv.club/douyu/4585645
斗鱼原神,https://goodiptv.club/douyu/10853239
B站QQ飞车•手游,https://live.ottiptv.cc/bilibili/21743919
斗鱼QQ飞车•手游,https://goodiptv.club/douyu/5040227
斗鱼梦幻西游·手游,https://live.ottiptv.cc/huya/9163712
斗鱼街霸,https://live.ottiptv.cc/huya/11437
B站JJ斗地主,https://live.ottiptv.cc/bilibili/22021983
斗鱼JJ斗地主,https://goodiptv.club/douyu/488743
斗鱼我的世界,https://goodiptv.club/douyu/738878
斗鱼FIFA,https://goodiptv.club/douyu/7692166
斗鱼火影忍者,https://goodiptv.club/douyu/1997723
斗鱼跑跑卡丁车,https://goodiptv.club/douyu/7722576
斗鱼跑跑卡丁车•手游,https://goodiptv.club/douyu/6672862

音乐直播,#genre#

欣赏音乐,#genre#
HIFI音乐直播,
38'6音乐直播,
舒耳音乐直播,
小汤音乐直播,
好听音乐直播,
微风音乐直播,
慕晚老歌直播,
动耳音乐直播,
BEYOND音乐,
粤语粤乐直播,
经典粤语直播,
DJ_WEAPON,
FM891音乐播,
周杰伦音乐播,
爵士音乐直播,
经典粤歌抖播,
谭咏麟乐抖播,
张学友乐抖播,
刘德华乐抖播,
周杰伦乐抖播,
BEYOND'抖播,
翡翠音乐抖播,
音乐汇乐抖播,
今日演唱会上,
今日演唱会中,
今日演唱会下,
抖精彩片段一,
抖精彩片段二,
今天演唱会一,
今天演唱会二,
今天演唱会三,
今天演唱会四,
湾区电影晚会,


咪视直播,#genre#
晴彩少年,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011525
晴彩竞技,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011528
晴彩篮球,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011529
晴彩广场舞,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011523
咪咕4K-1,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000005180
咪咕4K-2,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000015686
咪咕CCTV7,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011522
咪视通-1,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000001000005969
咪视界-2,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000001000005308
咪视通-3,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000001000007218
咪视通-4,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000001000008001
咪视通-5,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000001000008176
咪视通-6,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000001000008379
咪视通-7,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000001000010129
咪视通-8,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000001000010948
咪视通-9,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000001000028638
咪视通-10,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000001000031494
咪视通-11,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000005837
咪视通-12,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011518
咪视通-13,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011519
咪视通-14,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011520
咪视通-15,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011521
咪视通-16,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011522
咪视通-17,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011523
咪视通-18,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011524
咪视通-19,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011525
咪视通-20,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011528
咪视通-21,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011529
咪视通-22,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011530
咪视通-23,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011531
咪视通-24,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000000097
咪视通-25,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000002019
咪视通-26,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000002809
咪视通-27,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000003915
咪视通-28,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000004193
咪视通-29,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000006077
咪视通-30,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000006658
咪视通-31,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000009788
咪视通-32,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000010833
咪视通-33,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000011297
咪视通-34,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000011518
咪视通-35,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000012558
咪视通-36,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000012616
咪视通-37,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000015470
咪视通-38,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000015560
咪视通-39,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000017678
咪视通-40,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000019839
咪视通-41,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000021904
咪视通-42,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000023434
咪视通-43,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000025380
咪视通-44,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000027691
咪视通-45,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000031669

赛事咪咕,#genre#
赛事睛彩竞技,
赛事睛彩篮球,
赛事睛彩青少,
赛事咪咕播01,
赛事咪咕播02,
赛事咪咕播03,
赛事咪咕播04,
赛事咪咕播05,
赛事咪咕播06,
赛事咪咕播07,
赛事咪咕播08,
赛事咪咕播09,
赛事咪咕播10,
赛事咪咕播11,
赛事咪咕播12,
赛事咪咕播13,
赛事咪咕播14,
赛事咪咕播15,
赛事咪咕播16,
赛事咪咕播17,
赛事咪咕播18,
赛事咪咕播19,
赛事咪咕播20,
赛事咪咕播21,
赛事咪咕播22,
赛事咪咕播23,
赛事咪咕播24,
赛事咪咕播25,
赛事咪咕播26,
赛事咪咕播27,
赛事咪咕播28,
赛事咪咕播29,
赛事咪咕播30,
赛事咪咕播31,
赛事咪咕播32,
赛事咪咕播33,
赛事咪咕播34,
赛事咪咕播35,
赛事咪咕播36,
赛事咪咕播4k,
赛事至臻视界,

电影直播,#genre#

虎牙影视,#genre#


虎牙频道,#genre#
放映厅播频道,https://live.ottiptv.cc/huya/11602077
刘德华播频道,https://live.ottiptv.cc/huya/11342424
许冠英播频道,https://live.ottiptv.cc/huya/11601972
李连杰播频道,https://live.ottiptv.cc/huya/11342390
甄子丹播频道,https://live.ottiptv.cc/huya/11352935
周润发播频道,https://live.ottiptv.cc/huya/11342387
周星星播频道,https://live.ottiptv.cc/huya/11336587
洪金宝播频道,https://live.ottiptv.cc/huya/11279251
梁家辉播频道,https://live.ottiptv.cc/huya/11342429
五福星播频道,https://live.ottiptv.cc/huya/11282233
古天乐播频道,https://live.ottiptv.cc/huya/11602041
